id,digit
357,5
358,9
359,6
360,5
361,9
362,3
363,7
364,7
365,4
366,0
367,0
368,6
369,0
370,5
371,6
372,0
373,8
374,5
375,8
376,3
377,7
378,8
379,8
380,5
381,9
382,4
383,0
384,4
385,7
386,5
387,9
388,5
389,7
390,3
391,1
392,4
393,0
394,7
395,8
396,3
397,3
398,1
399,8
400,2
401,4
402,4
403,4
404,2
405,2
406,4
407,7
408,8
409,6
410,2
411,0
412,3
413,3
414,6
415,5
416,0
417,8
418,8
419,7
420,3
421,6
422,9
423,7
424,4
425,9
426,2
427,9
428,5
429,8
430,8
431,3
432,9
433,1
434,9
435,0
436,3
437,8
438,5
439,9
440,0
441,4
442,3
443,0
444,8
445,0
446,6
447,7
448,5
449,4
450,7
451,7
452,6
453,1
454,5
455,9
456,8
457,9
458,4
459,1
460,6
461,0
462,9
463,0
464,6
465,6
466,2
467,3
468,9
469,7
470,9
471,1
472,4
473,4
474,1
475,2
476,1
477,4
478,3
479,7
480,8
481,1
482,1
483,2
484,3
485,7
486,3
487,6
488,6
489,3
490,3
491,2
492,5
493,1
494,2
495,0
496,7
497,6
498,8
499,0
500,4
501,2
502,8
503,5
504,7
505,5
506,9
507,6
508,9
509,7
510,0
511,7
512,3
513,6
514,6
515,6
516,5
517,1
518,9
519,9
520,6
521,5
522,2
523,9
524,3
525,6
526,1
527,6
528,0
529,2
530,3
531,7
532,7
533,1
534,3
535,8
536,9
537,8
538,2
539,9
540,2
541,7
542,9
543,4
544,1
545,1
546,2
547,4
548,2
549,9
550,3
551,4
552,7
553,9
554,6
555,9
556,6
557,0
558,3
559,3
560,1
561,2
562,5
563,6
564,9
565,9
566,0
567,5
568,4
569,6
570,8
571,7
572,1
573,7
574,4
575,5
576,9
577,8
578,3
579,9
580,7
581,9
582,7
583,3
584,1
585,5
586,4
587,6
588,1
589,1
590,4
591,5
592,8
593,6
594,3
595,4
596,8
597,8
598,7
599,4
600,9
601,1
602,8
603,0
604,6
605,5
606,2
607,5
608,5
609,4
610,6
611,4
612,8
613,4
614,2
615,9
616,8
617,0
618,8
619,1
620,3
621,6
622,4
623,7
624,3
625,2
626,7
627,8
628,1
629,9
630,6
631,8
632,0
633,2
634,9
635,8
636,2
637,8
638,9
639,2
640,8
641,5
642,3
643,1
644,8
645,8
646,9
647,2
648,4
649,6
650,1
651,7
652,2
653,0
654,4
655,7
656,8
657,0
658,9
659,4
660,4
661,2
662,9
663,1
664,4
665,5
666,5
667,5
668,4
669,1
670,3
671,8
672,1
673,8
674,2
675,2
676,7
677,3
678,1
679,1
680,6
681,9
682,7
683,6
684,3
685,7
686,9
687,4
688,7
689,4
690,4
691,5
692,9
693,0
694,9
695,9
696,4
697,7
698,9
699,1
700,3
701,5
702,8
703,9
704,0
705,6
706,4
707,1
708,3
709,4
710,8
711,6
712,4
713,6
714,6
715,7
716,5
717,4
718,2
719,5
720,8
721,9
722,7
723,5
724,4
725,4
726,3
727,8
728,7
729,6
730,6
731,1
732,9
733,0
734,3
735,4
736,1
737,3
738,7
739,9
740,7
741,8
742,4
743,4
744,1
745,1
746,0
747,7
748,7
749,4
750,0
751,0
752,7
753,2
754,2
755,0
756,6
757,2
758,1
759,4
760,1
761,9
762,4
763,8
764,0
765,4
766,1
767,0
768,7
769,4
770,6
771,1
772,6
773,1
774,7
775,3
776,6
777,7
778,3
779,6
780,6
781,9
782,0
783,1
784,8
785,4
786,8
787,1
788,8
789,9
790,7
791,4
792,1
793,9
794,5
795,7
796,4
797,1
798,0
799,5
